date,priceOpen,priceHigh,priceLow,priceClose,volume
2025-06-15,106108.08523632523,106203.75601981216,104379.36523201605,105472.40865288586,38007870452.64
2025-06-14,105924.59056077506,106182.54597766166,102822.02580414969,106090.96639466035,69550440845.69
2025-06-13,108685.91042960044,108780.69744161598,105785.68873638548,105929.05126272964,54843867967.5
2025-06-12,110261.79625676526,110384.2209621744,108086.32791907506,108686.6276821388,50842662052.1
2025-06-11,110295.68765348828,110380.12144645238,108367.71343259457,110257.23771236572,54700101508.91
2025-06-10,105793.02117468115,110561.41981812529,105400.23089578965,110294.09910557327,55903193732.46
2025-06-09,105617.5094444598,106497.05984531996,105075.33051953038,105793.65022752753,36626232327.83
2025-06-08,104390.644796748,105972.75408769284,103987.31179318506,105615.62630946375,38365033775.84
2025-06-07,101574.3670737617,105376.77341111004,101169.57243705324,104390.34693847536,48856653697.18
2025-06-06,104750.7800547679,105936.69017321378,100436.88591250268,101575.95230618656,57479298399.76
2025-06-05,105434.36831481267,105997.69234231586,104232.69994975971,104731.98325514748,44544857105.32
2025-06-04,105888.47353471696,106813.57903126664,104920.84413830865,105432.47006660716,46196508367.02
2025-06-03,105649.80963227748,105958.313362378,103727.54707408692,105881.53390203086,45819706290.18
2025-06-02,104637.29668689604,105884.54428869834,103826.9555619665,105652.09856252489,37397056873.12
2025-06-01,103994.71517576015,104927.10459288668,103136.1134508832,104638.0912550028,38997843858.47
2025-05-31,105646.20772550195,106308.94852224216,103685.78827354815,103998.57224063044,57655287183.41
2025-05-30,107795.570582287,108910.0492110121,105374.39990131027,105641.76069837948,56022752042.28
2025-05-29,108992.17251141532,109298.28862150524,106812.92994784664,107802.32453606464,49155377492.62
2025-05-28,109440.40947802029,110744.20784402416,107609.556733003,108994.64215081916,57450176271.9
2025-05-27,109023.77832820344,110376.88147266948,108735.6419218036,109440.36835822814,45950461570.55
2025-05-26,107802.27212954532,109313.30152791846,106683.37246436598,109035.38703273084,47518041840.84
2025-05-25,107278.5069779142,109454.5211792546,106895.29108142172,107791.15754123592,45903627162.57
2025-05-24,111679.35626028496,111798.90387261315,106841.30124518803,107287.79670682205,67548133399.04
2025-05-23,109673.49185619224,111970.16811007992,109285.07238871124,111673.28401874512,70157575642.18
2025-05-22,106791.31242369737,110724.46418145676,106127.23459832136,109678.07630953676,78086364051.2
2025-05-21,105605.4091445749,107307.11393512732,104206.51577815546,106791.08966171175,36515726122.09
2025-05-20,106430.53270275438,107068.72236827806,102112.68546007258,105606.18146754084,61761126647.23
2025-05-19,103186.95563582474,106597.16813439736,103142.60457877822,106446.01055442636,49887082058.37
2025-05-18,103489.28973569484,103716.94898816691,102659.1770813014,103191.08547769875,37898552742.49
2025-05-17,103735.65506337154,104533.4866510729,103137.47873749465,103489.29171156995,44386499364.19
2025-05-16,103538.82568418497,104153.61987734394,101440.81246387654,103744.6435805224,50408241840.21
2025-05-15,104167.32560044796,104303.56516826224,102618.29735527372,103539.4170891327,45956071154.97
2025-05-14,102812.4924643175,104997.42058590072,101515.09286118703,104169.8128818504,52608876410.39
2025-05-13,104106.96270662454,105747.45206837644,100814.40257332772,102812.95325154896,63250475404.07
2025-05-12,104701.072596459,104937.9892452482,103364.73975383208,104106.35552626466,46285517406.46
2025-05-11,102973.71422769727,104961.76439106936,102830.48162303772,104696.3272911721,42276713994.21
2025-05-10,103239.12516390384,104297.49090824492,102343.0903303267,102970.84974403249,58198593958.12
2025-05-09,97034.24688884184,103969.53649035288,96913.8723974176,103241.46082980144,69895404396.74
2025-05-08,96800.19449655016,97625.80534470668,95829.3320669444,97032.31896658134,76983822461.78
2025-05-07,94748.3862881353,96889.17623422528,93399.85890768624,96802.47756375965,26551275826.73
2025-05-06,94319.5628677338,95193.18620064657,93566.2638409303,94748.05147537326,25816260327.41
2025-05-05,95877.1841802496,96318.91982056336,94173.43224003293,94315.97488904891,18198688416.06
2025-05-04,96904.63473532416,96943.88181527617,95821.29091836888,95891.79803431532,15775154888.97
2025-05-03,96494.9691901396,97905.90081355348,96375.94611335977,96910.06857772858,26421924676.66
2025-05-02,94212.86287717384,97437.96387879131,94153.63388153428,96492.33904923624,32875889623.44
2025-05-01,94286.46865734526,95249.31940717297,92979.63962754195,94207.31129752305,28344679831.08
2025-04-30,94981.8613835771,95485.41282007511,93796.63422337356,94284.79162811562,25806129920.72
2025-04-29,93755.30360534176,95598.492236527,92860.80822105805,94978.75250363749,32363449569.16
2025-04-28,94660.90920811244,95301.2063769868,93665.39735692926,93754.84673812396,18090367763.89
2025-04-27,94714.6463714469,95251.35943812452,93927.25062835569,94646.92811168196,17612825123.36
2025-04-26,93954.24981966102,95768.39246695588,92898.59309117188,94720.4980175858,40915232363.91
2025-04-25,93692.39595194576,94016.19442848,91696.71411403848,93943.79341612494,31483175315.4
2025-04-24,93427.58580855062,94535.73207189518,91962.95818225788,93699.11317603666,41719568820.85
2025-04-23,87521.87117346626,93817.38379122187,87084.52941386704,93441.89334755747,55899038455.73
2025-04-22,85171.5427512029,88460.09617147183,85143.83770854885,87518.90503469988,41396190189.88
2025-04-21,85066.06886985601,85306.38125686691,83976.84584929748,85174.30162916107,14664050811.93
2025-04-20,84450.87033346148,85597.70373924577,84353.45781540943,85063.41305684106,15259300427.02
2025-04-19,84900.19135742266,85095.04944261954,84298.88320489036,84450.80707734117,12728372364.23
2025-04-18,84030.67292676501,85449.06765559096,83749.75302020107,84895.75143926751,21276866029.01
2025-04-17,83674.51107864527,85428.28240962118,83100.61793014304,84033.86541648101,29617804112.22
2025-04-16,84539.69278498102,86429.34847863745,83598.818421582,83668.9893302616,28040322884.75
2025-04-15,83694.52327328338,85784.99772729716,83690.63694690881,84542.39128267372,34090769777.17
2025-04-14,85279.47053438281,86015.18584926911,83027.00426269656,83684.97902810505,28796984817.37
2025-04-13,83404.51699304495,85856.18786990084,82769.37789254336,85287.1132768994,24258059103.94
2025-04-12,79625.04814072048,84247.47364926974,78936.32056894607,83404.83980637716,41656778779.2
2025-04-11,82565.97445255207,82700.93206419279,78456.13374777374,79626.14143605047,44718000633.05
2025-04-10,76273.56170055756,83541.00025487221,74589.67270705984,82573.9511277008,84213627037.89
2025-04-09,79218.47385977911,80823.88812131566,76198.02228057399,76271.95017471343,48314590748.66
2025-04-08,78221.33313364969,81119.06442104139,74436.67910094524,79235.33313217395,91262424987.16
2025-04-07,83504.50711638005,83704.71778641942,77097.74090174645,78214.4808171041,36294853735.96
2025-04-06,83844.69966290914,84207.01936215923,82377.73586427435,83504.80017205456,14380803630.57
2025-04-05,83100.24744097982,84696.14626381778,81670.74877035448,83843.80487310472,45157640206.84
2025-04-04,82487.4764239047,83909.29836547951,81282.09786274913,83102.82820654023,36852112079.93
2025-04-03,85180.61303991935,88466.95695859227,82343.53910727557,82485.70837130435,47584398470.45
2025-04-02,82551.91872925474,85487.36612266583,82429.36199290847,85169.1695887702,28175650319.38
2025-04-01,82336.05934575244,83870.12134906207,81293.88856092037,82548.91096086935,29004228246.6
2025-03-31,82596.98323430921,83505.00293206928,81573.2470657633,82334.52269692018,14763760943.16
2025-03-30,84352.07272629582,84567.33214572683,81634.14130547948,82597.58433886131,16969396135.15
2025-03-29,87185.23467710707,87489.86121482414,83557.64246442346,84353.15101258164,34198619509.07
2025-03-28,86896.2548762212,87786.723395316,85837.93370147451,87177.10210551348,24413471940.5
2025-03-27,87460.23666979485,88292.15690143696,85861.455394714,86900.88554328846,26704046037.95
2025-03-26,87512.81944072593,88542.39467283744,86346.07889666308,87471.70304794039,30005840048.56
2025-03-25,86070.92811115854,88758.72963683418,85541.19810016874,87498.91241027668,34582604932.53
2025-03-24,83831.9005141602,86094.78007760542,83794.91065612518,86054.37186301082,12594615536.53
2025-03-23,84046.25828818169,84513.8724239979,83674.78082321996,83832.4875518333,9863214090.93
2025-03-22,84164.54252392585,84782.27165102001,83171.06972168114,84043.24518209897,19030452299.43
2025-03-21,86872.95330189467,87443.2677695942,83647.19396650222,84167.19340433639,29028988960.57
2025-03-20,82718.80425845386,87021.18580549254,82569.72689462671,86854.22596043906,34931960257.28
2025-03-19,84075.7156723962,84075.7156723962,81179.99016328463,82718.50231764314,24095774593.8
2025-03-18,82576.33427819445,84725.32598190354,82492.1525372132,84075.68869687966,25092785558.06
2025-03-17,84333.32161701162,85051.59848534227,82017.90471433428,82579.6908921864,21330270173.57
2025-03-16,83968.40594955091,84672.6721611549,83639.59485763479,84343.1084583416,13650491277.15
2025-03-15,81066.993377569,85263.28985684708,80797.56259082246,83969.0997189857,29588112413.91
2025-03-14,83724.91959970574,84301.6919089795,79931.85324456095,81066.70136914577,31412940153.29
2025-03-13,82857.37837201863,84358.57746182784,80635.24923464411,83722.36195174961,40353484453.92
2025-03-12,78523.87154381181,83577.75595928164,76624.25248982682,82862.20818098089,54702837195.93
2025-03-11,80597.14978363975,83955.92625197173,77420.5921857503,78532.00180846766,54061099421.87
2025-03-10,86154.30589057712,86471.1301630585,80052.4869785059,80601.04131141985,30899345977.33
2025-03-09,86742.65299002576,86847.26759385405,85247.48418772944,86154.5932099702,18206118081.06
2025-03-08,89963.2830044752,91191.0496299424,84717.67967134832,86742.6756244441,65945677657.29
2025-03-07,90622.36115502504,92804.93983153228,87852.13848060969,89961.72724371402,47749810486.3
2025-03-06,87222.95486911599,90998.23954346174,86379.77304240134,90623.56184280872,50498988027.45
2025-03-05,86064.06665899591,88911.2740776466,81529.23983298676,87222.19220667671,68095241474.12
2025-03-04,94248.42149718052,94429.74782373276,85081.30492867877,86065.6683289207,70072228536.46
2025-03-03,86036.25754954967,95043.435203001,85040.21116490498,94248.3505251674,58398341092.43
2025-03-02,84373.86437183671,86522.30234540148,83794.23249224083,86031.91239771536,29190628396.31
2025-03-01,84705.62848021874,85036.32222745634,78248.91610152679,84373.01032958015,83610570575.92
2025-02-28,84076.86190701449,87000.78101692138,83144.9590529622,84704.22458228334,52659591953.61
2025-02-27,88638.893456738,89286.25192471237,82131.9013643001,84347.01972198201,64597492134.27
2025-02-26,91437.11400510588,92511.07973885234,86008.23491276524,88736.1734415255,92139104127.7
2025-02-25,96277.96379034071,96503.45442711246,91371.74071338492,91418.17366744149,44046480529.18
2025-02-24,96577.80308060528,96671.87429382712,95270.45280598207,96273.91974655744,16999478976.16
2025-02-23,96134.20191224912,96950.15937913184,95765.3403944205,96577.76154714968,18353824476.55
2025-02-22,98340.6700379587,99497.96676737048,94852.95862026856,96125.54405496531,49608706469.55
2025-02-21,96632.6791870311,98767.19373554851,96442.67072141092,98333.93782934498,31668022770.75
